#options: 1080x1920 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=33 lookahead_threads=11 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=5180 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:25.27 aq:16.95 tex:881005 mv:222437 misc:398 imb:8160 pmb:0 smb:0 d:- ref:;
in:72 out:74 type:b dur:2 cpbdur:2 q:24.51 aq:19.38 tex:41222 mv:34990 misc:7852 imb:411 pmb:3497 smb:4252 d:s ref:0 ;
in:74 out:75 type:b dur:2 cpbdur:2 q:24.33 aq:19.01 tex:39125 mv:33327 misc:7812 imb:356 pmb:3356 smb:4448 d:- ref:0 ;
in:79 out:76 type:P dur:2 cpbdur:2 q:24.14 aq:17.60 tex:321946 mv:64364 misc:2698 imb:2905 pmb:4657 smb:598 d:s ref:0 ;
in:77 out:77 type:B dur:2 cpbdur:2 q:24.19 aq:18.07 tex:98263 mv:52753 misc:7256 imb:735 pmb:4722 smb:2703 d:s ref:0 ;
in:76 out:78 type:b dur:2 cpbdur:2 q:24.22 aq:18.94 tex:41515 mv:35104 misc:7837 imb:363 pmb:3540 smb:4257 d:s ref:0 ;
in:78 out:79 type:b dur:2 cpbdur:2 q:24.16 aq:18.96 tex:40620 mv:34666 misc:7946 imb:346 pmb:3556 smb:4258 d:- ref:0 ;
in:81 out:80 type:P dur:2 cpbdur:2 q:24.11 aq:18.17 tex:275261 mv:58584 misc:3843 imb:2621 pmb:4515 smb:1024 d:s ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:24.12 aq:19.14 tex:47723 mv:36729 misc:7876 imb:369 pmb:3650 smb:4141 d:s ref:0 ;
in:83 out:82 type:P dur:2 cpbdur:2 q:24.39 aq:18.79 tex:366336 mv:63877 misc:1811 imb:3502 pmb:4341 smb:317 d:s ref:0 w:7,127,0 ;
in:82 out:83 type:b dur:2 cpbdur:2 q:24.25 aq:19.76 tex:81396 mv:49088 misc:7308 imb:794 pmb:4515 smb:2851 d:s ref:0 ;
in:85 out:84 type:P dur:2 cpbdur:2 q:24.28 aq:19.15 tex:402409 mv:64432 misc:1335 imb:4955 pmb:3005 smb:200 d:s ref:0 ;
in:84 out:85 type:b dur:2 cpbdur:2 q:24.33 aq:19.82 tex:110608 mv:62950 misc:6554 imb:1359 pmb:4525 smb:2276 d:s ref:0 ;
in:89 out:86 type:P dur:2 cpbdur:2 q:24.45 aq:19.00 tex:616619 mv:61407 misc:1054 imb:6693 pmb:1371 smb:96 d:s ref:0 ;
in:87 out:87 type:B dur:2 cpbdur:2 q:24.36 aq:19.09 tex:311009 mv:87529 misc:2926 imb:2979 pmb:4621 smb:560 d:s ref:0 ;
in:86 out:88 type:b dur:2 cpbdur:2 q:24.32 aq:19.94 tex:110054 mv:55968 misc:7346 imb:1108 pmb:4122 smb:2930 d:s ref:0 ;
in:88 out:89 type:b dur:2 cpbdur:2 q:24.41 aq:19.83 tex:103197 mv:59893 misc:7326 imb:1106 pmb:4048 smb:3006 d:- ref:0 ;
in:93 out:90 type:P dur:2 cpbdur:2 q:24.78 aq:19.04 tex:575657 mv:63473 misc:1078 imb:6535 pmb:1523 smb:102 d:s ref:0 ;
in:91 out:91 type:B dur:2 cpbdur:2 q:24.62 aq:18.99 tex:295163 mv:90918 misc:3215 imb:2989 pmb:4541 smb:630 d:s ref:0 ;
in:90 out:92 type:b dur:2 cpbdur:2 q:24.53 aq:19.98 tex:102635 mv:58982 misc:7495 imb:944 pmb:3879 smb:3337 d:s ref:0 ;
in:92 out:93 type:b dur:2 cpbdur:2 q:24.70 aq:19.99 tex:85712 mv:54034 misc:7590 imb:880 pmb:3939 smb:3341 d:- ref:0 ;
in:95 out:94 type:P dur:2 cpbdur:2 q:24.98 aq:18.68 tex:466153 mv:63737 misc:1982 imb:5133 pmb:2696 smb:331 d:s ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:24.88 aq:19.92 tex:73535 mv:47622 misc:7819 imb:901 pmb:3728 smb:3531 d:s ref:0 ;
in:97 out:96 type:P dur:2 cpbdur:2 q:24.94 aq:17.72 tex:435393 mv:67081 misc:1614 imb:4449 pmb:3461 smb:250 d:s ref:0 ;
in:96 out:97 type:b dur:2 cpbdur:2 q:24.96 aq:19.74 tex:62826 mv:42605 misc:7761 imb:675 pmb:4177 smb:3308 d:s ref:0 ;
in:101 out:98 type:P dur:2 cpbdur:2 q:25.25 aq:18.10 tex:300025 mv:61793 misc:3294 imb:3531 pmb:3897 smb:732 d:s ref:0 ;
in:99 out:99 type:B dur:2 cpbdur:2 q:25.10 aq:18.55 tex:115981 mv:59790 misc:6181 imb:1078 pmb:5146 smb:1936 d:s ref:0 ;
in:98 out:100 type:b dur:2 cpbdur:2 q:25.02 aq:19.67 tex:42308 mv:35435 misc:7921 imb:348 pmb:3642 smb:4170 d:s ref:0 ;
in:100 out:101 type:b dur:2 cpbdur:2 q:25.17 aq:19.58 tex:35754 mv:35404 misc:7866 imb:398 pmb:3548 smb:4214 d:- ref:0 ;
in:105 out:102 type:P dur:2 cpbdur:2 q:25.17 aq:18.23 tex:262215 mv:61616 misc:2921 imb:3719 pmb:3777 smb:664 d:s ref:0 ;
in:103 out:103 type:B dur:2 cpbdur:2 q:25.21 aq:18.91 tex:127323 mv:59227 misc:5946 imb:1089 pmb:5182 smb:1889 d:s ref:0 ;
in:102 out:104 type:b dur:2 cpbdur:2 q:25.23 aq:19.81 tex:34167 mv:34424 misc:7833 imb:373 pmb:3540 smb:4247 d:s ref:0 ;
in:104 out:105 type:b dur:2 cpbdur:2 q:25.19 aq:19.90 tex:40774 mv:36188 misc:7886 imb:440 pmb:3720 smb:4000 d:- ref:0 ;
in:109 out:106 type:P dur:2 cpbdur:2 q:25.09 aq:18.13 tex:280741 mv:61176 misc:3115 imb:3846 pmb:3676 smb:638 d:s ref:0 ;
in:107 out:107 type:B dur:2 cpbdur:2 q:25.13 aq:18.82 tex:116591 mv:61574 misc:6027 imb:1146 pmb:5224 smb:1790 d:s ref:0 ;
in:106 out:108 type:b dur:2 cpbdur:2 q:25.15 aq:19.74 tex:38915 mv:36528 misc:7965 imb:409 pmb:3729 smb:4022 d:s ref:0 ;
in:108 out:109 type:b dur:2 cpbdur:2 q:25.11 aq:19.86 tex:40285 mv:36186 misc:7993 imb:412 pmb:3686 smb:4062 d:- ref:0 ;
in:113 out:110 type:P dur:2 cpbdur:2 q:24.99 aq:18.01 tex:299316 mv:62895 misc:3317 imb:3646 pmb:3793 smb:721 d:s ref:0 ;
in:111 out:111 type:B dur:2 cpbdur:2 q:25.04 aq:18.70 tex:159707 mv:62838 misc:5551 imb:1113 pmb:5402 smb:1645 d:s ref:0 ;
in:110 out:112 type:b dur:2 cpbdur:2 q:25.07 aq:20.00 tex:56846 mv:39260 misc:7766 imb:391 pmb:3957 smb:3812 d:s ref:0 ;
in:112 out:113 type:b dur:2 cpbdur:2 q:25.01 aq:19.81 tex:55157 mv:38224 misc:7907 imb:412 pmb:3844 smb:3904 d:- ref:0 ;
in:117 out:114 type:P dur:2 cpbdur:2 q:24.80 aq:17.78 tex:374763 mv:64080 misc:2933 imb:3686 pmb:3806 smb:668 d:s ref:0 ;
in:115 out:115 type:B dur:2 cpbdur:2 q:24.89 aq:18.85 tex:149956 mv:64130 misc:5466 imb:942 pmb:5606 smb:1612 d:s ref:0 ;
in:114 out:116 type:b dur:2 cpbdur:2 q:24.94 aq:19.65 tex:57186 mv:39664 misc:7822 imb:420 pmb:4094 smb:3646 d:s ref:0 ;
in:116 out:117 type:b dur:2 cpbdur:2 q:24.85 aq:19.39 tex:44715 mv:38371 misc:7986 imb:370 pmb:3977 smb:3813 d:- ref:0 ;
in:119 out:118 type:P dur:2 cpbdur:2 q:25.15 aq:17.84 tex:268537 mv:56450 misc:3957 imb:2920 pmb:4220 smb:1020 d:s ref:0 ;
in:118 out:119 type:b dur:2 cpbdur:2 q:24.97 aq:19.30 tex:45566 mv:38462 misc:7916 imb:392 pmb:3979 smb:3789 d:s ref:0 ;
in:123 out:120 type:P dur:2 cpbdur:2 q:25.70 aq:18.40 tex:320747 mv:61787 misc:3378 imb:3377 pmb:3934 smb:849 d:s ref:0 ;
in:121 out:121 type:B dur:2 cpbdur:2 q:25.42 aq:19.06 tex:89767 mv:53583 misc:7130 imb:708 pmb:4710 smb:2742 d:s ref:0 ;
in:120 out:122 type:b dur:2 cpbdur:2 q:25.29 aq:20.07 tex:41671 mv:35644 misc:7877 imb:344 pmb:3672 smb:4144 d:s ref:0 ;
in:122 out:123 type:b dur:2 cpbdur:2 q:25.56 aq:19.96 tex:34305 mv:32427 misc:7812 imb:298 pmb:3349 smb:4513 d:- ref:0 ;
in:127 out:124 type:P dur:2 cpbdur:2 q:26.18 aq:19.04 tex:280027 mv:60797 misc:3360 imb:3521 pmb:3922 smb:717 d:s ref:0 ;
in:125 out:125 type:B dur:2 cpbdur:2 q:25.94 aq:19.35 tex:69046 mv:49444 misc:7686 imb:724 pmb:4370 smb:3066 d:s ref:0 ;
in:124 out:126 type:b dur:2 cpbdur:2 q:25.82 aq:20.37 tex:32034 mv:30941 misc:7777 imb:308 pmb:3142 smb:4710 d:s ref:0 ;
in:126 out:127 type:b dur:2 cpbdur:2 q:26.06 aq:20.39 tex:32724 mv:30534 misc:7830 imb:334 pmb:3202 smb:4624 d:- ref:0 ;
in:129 out:128 type:P dur:2 cpbdur:2 q:26.29 aq:18.99 tex:190618 mv:52107 misc:4811 imb:2618 pmb:4196 smb:1346 d:s ref:0 ;
in:128 out:129 type:b dur:2 cpbdur:2 q:26.24 aq:20.40 tex:26766 mv:29583 misc:7803 imb:338 pmb:2964 smb:4858 d:t ref:0 ;
in:133 out:130 type:P dur:2 cpbdur:2 q:26.43 aq:19.44 tex:245701 mv:59457 misc:3618 imb:3378 pmb:3942 smb:840 d:s ref:0 ;
in:131 out:131 type:B dur:2 cpbdur:2 q:26.36 aq:19.71 tex:88495 mv:52520 misc:7065 imb:959 pmb:4803 smb:2398 d:s ref:0 ;
in:130 out:132 type:b dur:2 cpbdur:2 q:26.32 aq:20.55 tex:27301 mv:29085 misc:7734 imb:362 pmb:3001 smb:4797 d:s ref:0 ;
in:132 out:133 type:b dur:2 cpbdur:2 q:26.39 aq:20.52 tex:28825 mv:31165 misc:7842 imb:343 pmb:3175 smb:4642 d:- ref:0 ;
in:137 out:134 type:P dur:2 cpbdur:2 q:26.44 aq:20.21 tex:226807 mv:59217 misc:4040 imb:3393 pmb:3629 smb:1138 d:s ref:0 ;
